,Title,Author,Published,Link
276,On the application of bio-inspired optimization algorithms to fuzzy C-Means clustering of time series,"Fuad, M. M. M.",2015,https://pureportal.coventry.ac.uk/en/publications/on-the-application-of-bio-inspired-optimization-algorithms-to-fuz
277,Optimized multi-resolution indexing and retrieval scheme of time series,"Muhammad Fuad, M. M.",Sep 2015,https://pureportal.coventry.ac.uk/en/publications/optimized-multi-resolution-indexing-and-retrieval-scheme-of-time-
278,A hybrid of bacterial foraging and differential evolution -based distance of sequences,"Fuad, M. M. M.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/a-hybrid-of-bacterial-foraging-and-differential-evolution-based-d
279,A synergy of artificial bee colony and genetic algorithms to determine the parameters of the ∑-gram distance,"Muhammad Fuad, M. M.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/a-synergy-of-artificial-bee-colony-and-genetic-algorithms-to-dete
280,A weighted minimum distance using hybridization of particle swarm optimization and Bacterial Foraging,"Muhammad Fuad, M. M.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/a-weighted-minimum-distance-using-hybridization-of-particle-swarm
281,Differential evolution-based weighted combination  of distance metrics for k-means clustering,"Muhammad Marwan Muhammad, F.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/differential-evolution-based-weighted-combination-of-distance-met
282,One-step or two-step optimization and the overfitting phenomenon: A case study on time series classification,"Fuad, M. M. M.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/one-step-or-two-step-optimization-and-the-overfitting-phenomenon-
283,Parameter-free extended edit distance,"Muhammad Fuad, M. M.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/parameter-free-extended-edit-distance
284,A pre-initialization stage of population-based bio-inspired metaheuristics for handling expensive optimization problems,"Fuad, M. M. M.",1 Dec 2013,https://pureportal.coventry.ac.uk/en/publications/a-pre-initialization-stage-of-population-based-bio-inspired-metah
285,When optimization is just an illusion,"Muhammad Fuad, M. M.",1 Dec 2013,https://pureportal.coventry.ac.uk/en/publications/when-optimization-is-just-an-illusion
286,ABC-SG: A new artificial bee colony algorithm-based distance of sequential data using sigma grams,"Muhammad Fuad, M. M.",1 Jan 2012,https://pureportal.coventry.ac.uk/en/publications/abc-sg-a-new-artificial-bee-colony-algorithm-based-distance-of-se
287,Differential evolution versus genetic algorithms: Towards symbolic aggregate approximation of non-normalized time series,"Fuad, M. M. M.",28 Sep 2012,https://pureportal.coventry.ac.uk/en/publications/differential-evolution-versus-genetic-algorithms-towards-symbolic
288,Genetic algorithms-based symbolic aggregate approximation,"Muhammad Fuad, M. M.",1 Oct 2012,https://pureportal.coventry.ac.uk/en/publications/genetic-algorithms-based-symbolic-aggregate-approximation
289,Particle swarm optimization of information-content weighting of symbolic aggregate approximation,"Muhammad Fuad, M. M.",1 Dec 2012,https://pureportal.coventry.ac.uk/en/publications/particle-swarm-optimization-of-information-content-weighting-of-s
290,Towards normalizing the edit distance using a genetic algorithms-based scheme,"Muhammad Fuad, M. M.",1 Dec 2012,https://pureportal.coventry.ac.uk/en/publications/towards-normalizing-the-edit-distance-using-a-genetic-algorithms-
291,Using differential evolution to set weights to segments with different information content in the piecewise aggregate approximation,"Fuad, M. M. M.",Sep 2012,https://pureportal.coventry.ac.uk/en/publications/using-differential-evolution-to-set-weights-to-segments-with-diff
292,Enhancing the symbolic aggregate approximation method using updated lookup tables,"Muhammad Fuad, M. M.",23 Nov 2010,https://pureportal.coventry.ac.uk/en/publications/enhancing-the-symbolic-aggregate-approximation-method-using-updat
293,Fast retrieval of time series using a multi-resolution filter with multiple reduced spaces,"Fuad, M. M. M.",21 Dec 2010,https://pureportal.coventry.ac.uk/en/publications/fast-retrieval-of-time-series-using-a-multi-resolution-filter-wit
294,Multi-resolution approach to time series retrieval,"Fuad, M. M. M.",15 Dec 2010,https://pureportal.coventry.ac.uk/en/publications/multi-resolution-approach-to-time-series-retrieval
295,Speeding-up the similarity search in time series databases by coupling dimensionality reduction techniques with a fast-and-dirty filter,"Muhammad Fuad, M. M.",11 Nov 2010,https://pureportal.coventry.ac.uk/en/publications/speeding-up-the-similarity-search-in-time-series-databases-by-cou
296,Towards a faster symbolic aggregate approximation method,"Muhammad Fuad, M. M.",1 Dec 2010,https://pureportal.coventry.ac.uk/en/publications/towards-a-faster-symbolic-aggregate-approximation-method
297,Extending the edit distance using frequencies of common characters,"Fuad, M. M. M.",7 Oct 2008,https://pureportal.coventry.ac.uk/en/publications/extending-the-edit-distance-using-frequencies-of-common-character
298,The extended edit distance metric,"Fuad, M. M. M.",15 Aug 2008,https://pureportal.coventry.ac.uk/en/publications/the-extended-edit-distance-metric
299,Platform as a service gateway for the Fog of Things,"Verba, N.",Aug 2017,https://pureportal.coventry.ac.uk/en/publications/platform-as-a-service-gateway-for-the-fog-of-things-2
300,Cool to Warm Up? Understanding Student Energy Behaviour In Indonesian University Buildings.,"Halloran, J.",2015,https://pureportal.coventry.ac.uk/en/publications/cool-to-warm-up-understanding-student-energy-behaviour-in-indones-2
301,Edge mining the internet of things,"Gaura, E.",2013,https://pureportal.coventry.ac.uk/en/publications/edge-mining-the-internet-of-things-2
302,Virtual sensors to improve on-line hydraulic model calibration,"Goldsmith, D.",2012,https://pureportal.coventry.ac.uk/en/publications/virtual-sensors-to-improve-on-line-hydraulic-model-calibration
303,WaterWiSe@SG: A testbed for continuous monitoring of the water distribution system in Singapore,"Goldsmith, D.",2012,https://pureportal.coventry.ac.uk/en/publications/waterwisesg-a-testbed-for-continuous-monitoring-of-the-water-dist
304,The Spanish Inquisition Protocol—Model based transmission reduction for wireless sensor networks,"Goldsmith, D.",2010,https://pureportal.coventry.ac.uk/en/publications/the-spanish-inquisition-protocolmodel-based-transmission-reductio-2
305,FieldMAP: a spatiotemporal field monitoring application prototyping framework,"Brusey, J.",Nov 2009,https://pureportal.coventry.ac.uk/en/publications/fieldmap-a-spatiotemporal-field-monitoring-application-prototypin-2
306,Performance analysis of a prototype wireless monitoring system for a gas turbine,"Brusey, J.",2009,https://pureportal.coventry.ac.uk/en/publications/performance-analysis-of-a-prototype-wireless-monitoring-system-fo-2
307,Wireless sensor networks for aerospace applications- thermal monitoring for a gas turbine engine,"Goldsmith, D.",2009,https://pureportal.coventry.ac.uk/en/publications/wireless-sensor-networks-for-aerospace-applications-thermal-monit-2
308,Augmented reality environmental monitoring using wireless sensor networks,"Goldsmith, D.",2008,https://pureportal.coventry.ac.uk/en/publications/augmented-reality-environmental-monitoring-using-wireless-sensor--2
309,Prototype of a wireless monitoring system for a gas turbine engine,"Goldsmith, D.",Sep 2008,https://pureportal.coventry.ac.uk/en/publications/prototype-of-a-wireless-monitoring-system-for-a-gas-turbine-engin-2
310,Wireless instrumentation for aerospace applications—thermal monitoring for a gas turbine engine,"Goldsmith, D.",2008,https://pureportal.coventry.ac.uk/en/publications/wireless-instrumentation-for-aerospace-applicationsthermal-monito-2
311,Sense-enabled mixed reality museum exhibitions,"Goldsmith, D.",2007,https://pureportal.coventry.ac.uk/en/publications/sense-enabled-mixed-reality-museum-exhibitions-2
312,Design and evaluation of adaptive feedback to foster ICT information processing skills in young adults,"Grawemeyer, B.",1 Jan 2019,https://pureportal.coventry.ac.uk/en/publications/design-and-evaluation-of-adaptive-feedback-to-foster-ict-informat
313,The impact of affect-aware support on learning tasks that differ in their cognitive demands,"Grawemeyer, B.",20 Jun 2018,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-affect-aware-support-on-learning-tasks-that-differ-
314,Affective learning: improving engagement and enhancing learning with affect-aware feedback,"Grawemeyer, B.",1 Mar 2017,https://pureportal.coventry.ac.uk/en/publications/affective-learning-improving-engagement-and-enhancing-learning-wi
315,Exploring students’ affective states during learning with external representations,"Grawemeyer, B.",23 Jun 2017,https://pureportal.coventry.ac.uk/en/publications/exploring-students-affective-states-during-learning-with-external
316,Using Graph-based Modelling to explore changes in students’ affective states during exploratory learning tasks,"Grawemeyer, B.",1 Jan 2017,https://pureportal.coventry.ac.uk/en/publications/using-graph-based-modelling-to-explore-changes-in-students-affect
317,Affecting Off-Task Behaviour: How Affect-aware feedback can improve student learning,"Grawemeyer, B.",25 Apr 2016,https://pureportal.coventry.ac.uk/en/publications/affecting-off-task-behaviour-how-affect-aware-feedback-can-improv
318,"It ain't what you do, it's the way that you do it: Investigating the effect of students' active and constructive interactions with fractions representations","Grawemeyer, B.",1 Jan 2016,https://pureportal.coventry.ac.uk/en/publications/it-aint-what-you-do-its-the-way-that-you-do-it-investigating-the-
319,Adapting feedback types according to students’ affective states,"Grawemeyer, B.",17 Jun 2015,https://pureportal.coventry.ac.uk/en/publications/adapting-feedback-types-according-to-students-affective-states
320,Affect matters: Exploring the impact of feedback during mathematical tasks in an exploratory environment,"Grawemeyer, B.",17 Jun 2015,https://pureportal.coventry.ac.uk/en/publications/affect-matters-exploring-the-impact-of-feedback-during-mathematic
321,Can young people with autism spectrum disorder benefit from an open learner model?,"Grawemeyer, B.",17 Jun 2015,https://pureportal.coventry.ac.uk/en/publications/can-young-people-with-autism-spectrum-disorder-benefit-from-an-op
322,Deficits in metacognitive monitoring in mathematics assessments in learners with autism spectrum disorder,"Grawemeyer, B.",1 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/deficits-in-metacognitive-monitoring-in-mathematics-assessments-i
323,"International workshop on affect, meta-affect, data and learning (AMADL 2015)","Grawemeyer, B.",1 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/international-workshop-on-affect-meta-affect-data-and-learning-am
324,Light-bulb moment? Towards adaptive presentation of feedback based on students' affective state,"Grawemeyer, B.",1 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/light-bulb-moment-towards-adaptive-presentation-of-feedback-based
325,Preface,"Grawemeyer, B.",1 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/preface-10
326,Preface,"Grawemeyer, B.",1 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/preface-9
327,Purpose and level of feedback in an exploratory learning environment for fractions,"Grawemeyer, B.",1 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/purpose-and-level-of-feedback-in-an-exploratory-learning-environm
328,Robust student knowledge: Adapting to individual student needs as they explore the concepts and practice the procedures of fractions,"Grawemeyer, B.",1 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/robust-student-knowledge-adapting-to-individual-student-needs-as-
329,"Talk, tutor, explore, learn: Intelligent tutoring and exploration for robust learning","Grawemeyer, B.",1 Jan 2015,https://pureportal.coventry.ac.uk/en/publications/talk-tutor-explore-learn-intelligent-tutoring-and-exploration-for
330,The impact of feedback on students' affective states,"Grawemeyer, B.",Jun 2015,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-feedback-on-students-affective-states
331,The impact of feedback on students' affective states,"Grawemeyer, B.",Jun 2015,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-feedback-on-students-affective-states-2
332,Employing speech to contribute to modelling and adapting to students' affective states,"Grawemeyer, B.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/employing-speech-to-contribute-to-modelling-and-adapting-to-stude
333,Exploring the potential of speech recognition to support problem solving and reflection: Wizards go to school in the elementary maths classroom,"Grawemeyer, B.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/exploring-the-potential-of-speech-recognition-to-support-problem-
334,"Interventions during student multimodal learning activities: Which, and why?","Grawemeyer, B.",1 Jan 2014,https://pureportal.coventry.ac.uk/en/publications/interventions-during-student-multimodal-learning-activities-which
335,Developing an embodied pedagogical agent with and for young people with autism spectrum disorder,"Grawemeyer, B.",22 Jun 2012,https://pureportal.coventry.ac.uk/en/publications/developing-an-embodied-pedagogical-agent-with-and-for-young-peopl
336,Developing IDEAS: Supporting children with Autism within a participatory design team,"Grawemeyer, B.",24 May 2012,https://pureportal.coventry.ac.uk/en/publications/developing-ideas-supporting-children-with-autism-within-a-partici
337,Rational security: Modelling everyday password use,"Grawemeyer, B.",1 Jun 2012,https://pureportal.coventry.ac.uk/en/publications/rational-security-modelling-everyday-password-use
338,IDEAS: An interface design experience for the autistic spectrum,"Grawemeyer, B.",8 Jun 2011,https://pureportal.coventry.ac.uk/en/publications/ideas-an-interface-design-experience-for-the-autistic-spectrum
339,Using and managing multiple passwords: A week to a view,"Grawemeyer, B.",1 May 2011,https://pureportal.coventry.ac.uk/en/publications/using-and-managing-multiple-passwords-a-week-to-a-view
340,The effects of users' background diagram knowledge and task characteristics upon information display selection,"Grawemeyer, B.",1 Dec 2008,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-users-background-diagram-knowledge-and-task-charac
341,Evaluation of ERST - An external representation selection tutor,"Grawemeyer, B.",1 Jan 2006,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-erst-an-external-representation-selection-tutor
342,A bayesian approach to modelling users' information display preferences,"Grawemeyer, B.",1 Jan 2005,https://pureportal.coventry.ac.uk/en/publications/a-bayesian-approach-to-modelling-users-information-display-prefer
343,Graphical data displays and database queries: Helping users select the right display for the task,"Grawemeyer, B.",1 Jan 2005,https://pureportal.coventry.ac.uk/en/publications/graphical-data-displays-and-database-queries-helping-users-select
344,The effect of knowledge-of-external-representations upon performance and representational choice in a database query task,"Grawemeyer, B.",1 Jan 2004,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-knowledge-of-external-representations-upon-performa
345,AUDIX: A Knowledge-based System for speech-therapeutic auditory discrimination exercises,"Grawemeyer, B.",1 Jan 2000,https://pureportal.coventry.ac.uk/en/publications/audix-a-knowledge-based-system-for-speech-therapeutic-auditory-di
346,Knowledge-based document analysis,"Grawemeyer, B.",Aug 1997,https://pureportal.coventry.ac.uk/en/publications/knowledge-based-document-analysis
347,Non-Newtonian channel flow—exact solutions,"Griffiths, P.",26 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/non-newtonian-channel-flowexact-solutions
348,On the stability of a heated rotating-disk boundary layer in a temperature-dependent viscosity fluid,"Griffiths, P.",Feb 2020,https://pureportal.coventry.ac.uk/en/publications/on-the-stability-of-a-heated-rotating-disk-boundary-layer-in-a-te
349,The instability of non-Newtonian boundary-layer flows over rough rotating disks,"Griffiths, P.",Nov 2019,https://pureportal.coventry.ac.uk/en/publications/the-instability-of-non-newtonian-boundary-layer-flows-over-rough-
350,On the stability of the Blasius boundary layer over a heated plate in a temperature-dependent viscosity flow,"Griffiths, P.",9 Nov 2018,https://pureportal.coventry.ac.uk/en/publications/on-the-stability-of-the-blasius-boundary-layer-over-a-heated-plat
351,Quantifying non-Newtonian effects in rotating boundary-layer flows,"Griffiths, P. T.",1 Jan 2017,https://pureportal.coventry.ac.uk/en/publications/quantifying-non-newtonian-effects-in-rotating-boundary-layer-flow
352,Stability of the shear-thinning boundary-layer flow over a flat inclined plate,"Griffiths, P.",6 Sep 2017,https://pureportal.coventry.ac.uk/en/publications/stability-of-the-shear-thinning-boundary-layer-flow-over-a-flat-i
353,On the stability of the BEK family of rotating boundary-layer flows for power-law fluids,"Griffiths, P. T.",1 Oct 2016,https://pureportal.coventry.ac.uk/en/publications/on-the-stability-of-the-bek-family-of-rotating-boundary-layer-flo
354,The centrifugal instability of the boundary-layer flow over a slender rotating cone in an enforced axial free stream,"Griffiths, P. T.",10 Feb 2016,https://pureportal.coventry.ac.uk/en/publications/the-centrifugal-instability-of-the-boundary-layer-flow-over-a-sle
355,The effect of non-Newtonian viscosity on the stability of the Blasius boundary layer,"Griffiths, P. T.",Jul 2016,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-non-newtonian-viscosity-on-the-stability-of-the-bla
356,Viscous modes within the compressible boundary-layer flow due to a broad rotating cone,"Griffiths, P. T.",1 Oct 2016,https://pureportal.coventry.ac.uk/en/publications/viscous-modes-within-the-compressible-boundary-layer-flow-due-to-
357,Flow of a generalised Newtonian fluid due to a rotating disk,"Griffiths, P. T.",1 Jul 2015,https://pureportal.coventry.ac.uk/en/publications/flow-of-a-generalised-newtonian-fluid-due-to-a-rotating-disk
358,Stability of the boundary layer on a rotating disk for power-law fluids,"Griffiths, P. T.",May 2014,https://pureportal.coventry.ac.uk/en/publications/stability-of-the-boundary-layer-on-a-rotating-disk-for-power-law-
359,The neutral curve for stationary disturbances in rotating disk flow for power-law fluids,"Griffiths, P. T.",1 Nov 2014,https://pureportal.coventry.ac.uk/en/publications/the-neutral-curve-for-stationary-disturbances-in-rotating-disk-fl
360,Touch and Play? Investigating The Value of Touchscreens for Gamer Experience,"Halloran, J.",Dec 2019,https://pureportal.coventry.ac.uk/en/publications/touch-and-play-investigating-the-value-of-touchscreens-for-gamer-
361,Design implications for task-specific search utilities for retrieval and re-engineering of code,"Iqbal, R.",2017,https://pureportal.coventry.ac.uk/en/publications/design-implications-for-task-specific-search-utilities-for-retrie-2
362,The Human Element: Social Leveraging of User Engagement with Assisted Living Technology,"Halloran, J.",May 2017,https://pureportal.coventry.ac.uk/en/publications/the-human-element-social-leveraging-of-user-engagement-with-assis
363,Cool to Warm Up? Understanding Student Energy Behaviour In Indonesian University Buildings.,"Halloran, J.",2015,https://pureportal.coventry.ac.uk/en/publications/cool-to-warm-up-understanding-student-energy-behaviour-in-indones-2
364,Diagnosis of heart disease by using a radial basis function network classification technique on patients' medical records,"Halloran, J.",2014,https://pureportal.coventry.ac.uk/en/publications/diagnosis-of-heart-disease-by-using-a-radial-basis-function-netwo-2
365,Supporting information exchange among software developers through the development of Collaborative Information Retrieval utilities,"Iqbal, R.",19 Sep 2013,https://pureportal.coventry.ac.uk/en/publications/supporting-information-exchange-among-software-developers-through
366,Distributed information extraction from large-scale wireless sensor networks,"Gaura, E.",May 2012,https://pureportal.coventry.ac.uk/en/publications/distributed-information-extraction-from-large-scale-wireless-sens-2
367,In at the deep end: an activity-led introduction to first year creative computing,"Halloran, J.",Sep 2012,https://pureportal.coventry.ac.uk/en/publications/in-at-the-deep-end-an-activity-led-introduction-to-first-year-cre-2
368,Investigating the value of retention actions as a source of relevance information in the software development environment,"Iqbal, R.",2012,https://pureportal.coventry.ac.uk/en/publications/investigating-the-value-of-retention-actions-as-a-source-of-relev
369,Sustainable future? Building and life-style assessment,"Gaura, E. I.",1 Dec 2012,https://pureportal.coventry.ac.uk/en/publications/sustainable-future-building-and-life-style-assessment
370,Ethnographically informed agent based computational model for collaborative systems,"Iqbal, R.",22 Nov 2010,https://pureportal.coventry.ac.uk/en/publications/ethnographically-informed-agent-based-computational-model-for-col
371,Design challenges and solutions: review of the 4th international workshop on ubiquitous computing (iUBICOM 2009),"Halloran, J.",2009,https://pureportal.coventry.ac.uk/en/publications/design-challenges-and-solutions-review-of-the-4th-international-w-2
372,"It's talk, but not as we know it: using VoIP to communicate in war games","Halloran, J.",2009,https://pureportal.coventry.ac.uk/en/publications/its-talk-but-not-as-we-know-it-using-voip-to-communicate-in-war-g-2
373,The value of values: resourcing co-design of ubiquitous computing,"Halloran, J.",2009,https://pureportal.coventry.ac.uk/en/publications/the-value-of-values-resourcing-co-design-of-ubiquitous-computing-2
374,Automated climate control system,"Hintea, D.",17 May 2018,https://pureportal.coventry.ac.uk/en/publications/automated-climate-control-system
375,Object recognition algorithms implemented on NAO robot for children’s visual learning enhancement,"Karayaneva, Y.",Feb 2018,https://pureportal.coventry.ac.uk/en/publications/object-recognition-algorithms-implemented-on-nao-robot-for-childr
376,Reinforcement Learning-based Thermal Comfort Control for Vehicle Cabins,"Brusey, J.",Apr 2018,https://pureportal.coventry.ac.uk/en/publications/reinforcement-learning-based-thermal-comfort-control-for-vehicle-
377,An investigation into the forensic implications of the Windows 10 operating system: recoverable artefacts and significant changes from Windows 8.1,"Hintea, D.",Nov 2017,https://pureportal.coventry.ac.uk/en/publications/an-investigation-into-the-forensic-implications-of-the-windows-10
378,Professionalising the science of Digital Forensics - Policy Logging and audit-able record keeping as a Life-long record,"Bird, R.",2 Apr 2017,https://pureportal.coventry.ac.uk/en/publications/professionalising-the-science-of-digital-forensics-policy-logging
379,Using Short URLs in Tweets to Improve Twitter Opinion Mining,"Palade, V.",Dec 2017,https://pureportal.coventry.ac.uk/en/publications/using-short-urls-in-tweets-to-improve-twitter-opinion-mining
380,Bridging User Story Sets with the Use Case Model,"Hintea, D.",14 Oct 2016,https://pureportal.coventry.ac.uk/en/publications/bridging-user-story-sets-with-the-use-case-model-2
381,Forensic Analysis of Smartphone Applications for Privacy Leakage,"Hintea, D.",Apr 2016,https://pureportal.coventry.ac.uk/en/publications/forensic-analysis-of-smartphone-applications-for-privacy-leakage
382,Malware in the Mobile Device Android Environment,"Hintea, D.",Apr 2016,https://pureportal.coventry.ac.uk/en/publications/malware-in-the-mobile-device-android-environment
383,A study on several machine learning methods for estimating cabin occupant equivalent temperature,"Hintea, D.",Jul 2015,https://pureportal.coventry.ac.uk/en/publications/a-study-on-several-machine-learning-methods-for-estimating-cabin--2
384,Applicability of Thermal Comfort Models to Car Cabin Environments,"Hintea, D.",Sep 2014,https://pureportal.coventry.ac.uk/en/publications/applicability-of-thermal-comfort-models-to-car-cabin-environments
385,"Comfort in Cars - Estimating Equivalent Temperature for Comfort Driven Heating, Ventilation and Air Conditioning (HVAC) Control","Hintea, D.",Jul 2013,https://pureportal.coventry.ac.uk/en/publications/comfort-in-cars-estimating-equivalent-temperature-for-comfort-dri
386,Mutual information-based sensor positioning for car cabin comfort control,"Hintea, D.",2011,https://pureportal.coventry.ac.uk/en/publications/mutual-information-based-sensor-positioning-for-car-cabin-comfort-2
387,Curiosity and engagement of postgraduate students in project management through creative game programming & design.,"Hocking, M.",2019,https://pureportal.coventry.ac.uk/en/publications/curiosity-and-engagement-of-postgraduate-students-in-project-mana
388,DEMAP-Staffordshire University and their Manufacturing Customers,"Hocking, M.",5 Jun 2014,https://pureportal.coventry.ac.uk/en/publications/demap-staffordshire-university-and-their-manufacturing-customers
389,A low-frequency electromagnetic probe for detection of corrosion in steel reinforced concrete.,"Hocking, M.",2009,https://pureportal.coventry.ac.uk/en/publications/a-low-frequency-electromagnetic-probe-for-detection-of-corrosion-
390,In a spin - technology transfer,"Hocking, M.",2008,https://pureportal.coventry.ac.uk/en/publications/in-a-spin-technology-transfer
391,Non-destructive detection of corrosion in steel reinforcement,"Hocking, M.",2008,https://pureportal.coventry.ac.uk/en/publications/non-destructive-detection-of-corrosion-in-steel-reinforcement-3
392,Non-destructive rust detection,"Hocking, M.",2008,https://pureportal.coventry.ac.uk/en/publications/non-destructive-rust-detection
393,Rust detection - the SciSite method,"Hocking, M.",2008,https://pureportal.coventry.ac.uk/en/publications/rust-detection-the-scisite-method
394,Non-destructive detection of corrosion in steel reinforcement,"Hocking, M.",2006,https://pureportal.coventry.ac.uk/en/publications/non-destructive-detection-of-corrosion-in-steel-reinforcement
395,Non-destructive Detection of Corrosion in Steel Reinforcement,"Hocking, M.",2006,https://pureportal.coventry.ac.uk/en/publications/non-destructive-detection-of-corrosion-in-steel-reinforcement-2
396,Cross-Layer Multipath Multichannel MAC protocol for MANETs,"Abdelshafy, M.",Jun 2018,https://pureportal.coventry.ac.uk/en/publications/cross-layer-multipath-multichannel-mac-protocol-for-manets
397,Performance evaluation of Receiver Directed Transmission protocol with a single transceiver in MANETs,"Abdelshafy, M.",4 May 2017,https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-receiver-directed-transmission-protocol
398,Reliable Multipath Multi-channel Route Migration over Multi Link-Failure in Wireless Ad Hoc Networks,"Abdelshafy, M.",23 Nov 2017,https://pureportal.coventry.ac.uk/en/publications/reliable-multipath-multi-channel-route-migration-over-multi-link-
399,Resisting blackhole attacks on MANETs,"Abdelshafy, M.",Jan 2016,https://pureportal.coventry.ac.uk/en/publications/resisting-blackhole-attacks-on-manets
400,Dynamic Source Routing under Attacks,"Abdelshafy, M.",12 Oct 2015,https://pureportal.coventry.ac.uk/en/publications/dynamic-source-routing-under-attacks
401,AODV & SAODV under Attack: Performance Comparison,"Abdelshafy, M.",Jun 2014,https://pureportal.coventry.ac.uk/en/publications/aodv-amp-saodv-under-attack-performance-comparison
402,AODV Routing Protocol Performance Analysis under MANET Attacks,"Abdelshafy, M.",Jun 2014,https://pureportal.coventry.ac.uk/en/publications/aodv-routing-protocol-performance-analysis-under-manet-attacks
403,Resisting flooding attacks on AODV,"Abdelshafy, M.",Nov 2014,https://pureportal.coventry.ac.uk/en/publications/resisting-flooding-attacks-on-aodv
404,Analysis of security attacks on AODV routing,"Abdelshafy, M.",Dec 2013,https://pureportal.coventry.ac.uk/en/publications/analysis-of-security-attacks-on-aodv-routing
405,Analysis and Evaluations of Wireless LANs Security Protocols,"Abdelshafy, M.",Nov 2002,https://pureportal.coventry.ac.uk/en/publications/analysis-and-evaluations-of-wireless-lans-security-protocols
406,An Active Attack on Token-Based Security Protocol,"Abdelshafy, M.",Apr 2001,https://pureportal.coventry.ac.uk/en/publications/an-active-attack-on-token-based-security-protocol
407,A New Attack on Aziz-Diffie Security Protocol,"Abdelshafy, M.",Mar 2001,https://pureportal.coventry.ac.uk/en/publications/a-new-attack-on-aziz-diffie-security-protocol
408,Impact of Vehicle Headlights Radiation Pattern on Dynamic Vehicular VLC Channel,"Al-Sallami, F. M. Y.",15 May 2021,https://pureportal.coventry.ac.uk/en/publications/impact-of-vehicle-headlights-radiation-pattern-on-dynamic-vehicul
409,Statistical channel modelling of dynamic vehicular visible light communication system,"Al-Sallami, F. M. Y.",Jun 2021,https://pureportal.coventry.ac.uk/en/publications/statistical-channel-modelling-of-dynamic-vehicular-visible-light-
410,LDPC-Coded CAP with Spatial Diversity for UVLC Systems over Generalized-Gamma Fading Channel,"Ahmad, Z.",15 Jun 2020,https://pureportal.coventry.ac.uk/en/publications/ldpc-coded-cap-with-spatial-diversity-for-uvlc-systems-over-gener
411,Performance of Spatial Diversity DCO-OFDM in a Weak Turbulence Underwater Visible Light Communication Channel,"Ahmad, Z.",15 Apr 2020,https://pureportal.coventry.ac.uk/en/publications/performance-of-spatial-diversity-dco-ofdm-in-a-weak-turbulence-un
412,Precision Indoor Three-Dimensional Visible Light Positioning Using Receiver Diversity and Multilayer Perceptron Neural Network,"Mahmoud, A. A.",1 Dec 2020,https://pureportal.coventry.ac.uk/en/publications/precision-indoor-three-dimensional-visible-light-positioning-usin
413,对数正态分布衰落下的光OFDM 水下可见光通信空间分集系统,"Ahmad, Z.",25 Feb 2020,https://pureportal.coventry.ac.uk/en/publications/optical-ofdm-spatial-diversity-system-in-lognormal-fading-uvlc-ch
414,Indoor Intruder Tracking Using Visible Light Communications,"Al Sallami, F. M. Y.",21 Oct 2019,https://pureportal.coventry.ac.uk/en/publications/indoor-intruder-tracking-using-visible-light-communications
415,Optical spatial diversity for FSO communications,"Rajbhandari, S.",Jun 2019,https://pureportal.coventry.ac.uk/en/publications/optical-spatial-diversity-for-fso-communications
416,Regular-Shaped Geometry-Based Stochastic Model for Vehicle-to-Vehicle Visible Light Communication Channel,"Al Sallami, F. M. Y.",16 May 2019,https://pureportal.coventry.ac.uk/en/publications/regular-shaped-geometry-based-stochastic-model-for-vehicle-to-veh
417,Reducing Noise Pollution of Emergency Vehicle Sirens with an Early Warning System,"Ahmad, Z.",2018,https://pureportal.coventry.ac.uk/en/publications/reducing-noise-pollution-of-emergency-vehicle-sirens-with-an-earl
418,Scattering regimes for underwater optical wireless communications using Monte Carlo simulation,"Ahmad, Z.",2018,https://pureportal.coventry.ac.uk/en/publications/scattering-regimes-for-underwater-optical-wireless-communications
419,Demonstration of a multi-hop underwater visible light communication system,"Ahmad, Z.",4 Sep 2017,https://pureportal.coventry.ac.uk/en/publications/demonstration-of-a-multi-hop-underwater-visible-light-communicati
420,Design of a visible light communication system for deep sea divers based on analogue frequency modulation,"Ahmad, Z.",22 Sep 2016,https://pureportal.coventry.ac.uk/en/publications/design-of-a-visible-light-communication-system-for-deep-sea-diver-2
